title,amount,type,category,date,notes
Monthly Salary,5000,income,Salary,2024-04-01,April salary deposit
Freelance Project,1800,income,Freelance,2024-04-03,Website redesign for client
Monthly Rent,1200,expense,Housing,2024-04-02,April rent payment
Grocery Shopping,145.50,expense,Food,2024-04-04,Weekly groceries
Metro Card Recharge,40,expense,Transport,2024-04-05,
Netflix Subscription,15.99,expense,Entertainment,2024-04-06,Monthly subscription
Gym Membership,50,expense,Health,2024-04-07,
Stock Dividend,320,income,Investment,2024-04-08,Q1 dividend payout
Online Course,89,expense,Education,2024-04-09,React advanced course
Electricity Bill,75,expense,Housing,2024-04-10,April electricity
Freelance Design,950,income,Freelance,2024-04-12,Logo design for startup
Restaurant Dinner,62.50,expense,Food,2024-04-13,Team dinner
Cab Rides,38,expense,Transport,2024-04-14,
Amazon Shopping,210,expense,Shopping,2024-04-15,Home supplies
YouTube Premium,13.99,expense,Entertainment,2024-04-16,
Doctor Checkup,80,expense,Health,2024-04-17,Annual physical
Bonus Payment,1500,income,Salary,2024-04-18,Performance bonus Q1
Internet Bill,45,expense,Housing,2024-04-19,
Lunch x5 days,55,expense,Food,2024-04-22,Office lunch week
Side Project Income,600,income,Freelance,2024-04-25,Mobile app maintenance
